Boundary number,Yr_pass,Day_orbit,Hour,Minute,Second,Orbit_number,X_MSO (km),Y_MSO (km),Z_MSO (km)
4,2011,91,14,21,35.5,29,4588.371,1213.497,1926.139
5,2011,91,15,45,16.1,29,-3842.748,-1453.51,-5312.639
6,2011,91,15,49,53.1,29,-3729.136,-1497.18,-5867.538
7,2011,91,18,9,9.5,29,2277.652,-1345.638,-14660.283
8,2011,91,19,11,29.2,29,4946.92,-967.392,-15803.302
1,2011,92,0,59,16.7,30,10403.462,1247.437,-4923.034
2,2011,92,0,59,29.1,30,10397.669,1248.037,-4908.805
3,2011,92,2,23,16.9,30,4976.876,1073.467,1728.109
4,2011,92,2,24,7.4,30,4871.648,1062.777,1791.626
5,2011,92,3,54,23,30,-3787.832,-1354.538,-5872.272
6,2011,92,4,22,19.3,30,-2823.355,-1533.169,-8702.137
7,2011,92,6,28,22.5,30,2877.782,-1372.939,-15040.737
8,2011,92,6,34,58.7,30,3168.953,-1345.286,-15188.036
1,2011,92,13,54,59.9,31,8069.247,985.901,-950.238
2,2011,92,14,1,12.8,31,7617.213,984.402,-434.142
3,2011,92,14,37,32.8,31,3635.217,782.912,2429.01
4,2011,92,14,38,48.4,31,3439.525,765.638,2505.011
5,2011,92,15,49,52,31,-4034.755,-1104.793,-4768.084
6,2011,92,15,53,15.2,31,-3971.661,-1147.966,-5197.676
7,2011,92,18,53,39.7,31,3729.18,-1422.234,-15457.303
8,2011,92,19,9,16.1,31,4390.213,-1373.045,-15683.117
1,2011,93,2,11,58,32,7131.946,713.412,102.118
2,2011,93,2,12,31.1,32,7084.547,714.103,148.044
3,2011,93,2,31,32.5,32,5106.788,701.966,1697.296
4,2011,93,2,34,1,32,4789.663,693.253,1885.617
5,2011,93,4,2,7.2,32,-3917.843,-1055.459,-5734.003
6,2011,93,4,14,9.9,32,-3568.145,-1182.465,-7072.492
7,2011,93,6,19,55.3,32,1977.326,-1590.737,-14583.758
8,2011,93,6,38,53.4,32,2828.426,-1579.891,-15076.637
1,2011,93,14,22,3.7,33,6636.461,477.442,583.584
2,2011,93,14,24,20.2,33,6416.277,485.814,771.297
3,2011,93,14,47,56.7,33,3423.872,510.986,2535.432
4,2011,93,14,48,6,33,3399.757,510.56,2544.139
5,2011,93,16,1,37.6,33,-4064.981,-847.205,-5133.445
6,2011,93,16,4,24.7,33,-4007.969,-884.742,-5476.507
7,2011,93,17,29,4.7,33,-638.993,-1521.066,-12358.753
8,2011,93,17,45,3.1,33,102.189,-1576.131,-13136.127
1,2011,94,2,36,59.3,34,5541.227,312.059,1447.296
2,2011,94,2,39,47.6,34,5204.104,329.476,1667.949
3,2011,94,2,51,41.7,34,3540.021,386.48,2501.979
4,2011,94,2,54,6.1,34,3150.069,393.026,2637.927
5,2011,94,4,10,2,34,-4016.204,-757.149,-5617.649
6,2011,94,4,12,0.1,34,-3970.076,-783.84,-5850.59
7,2011,94,5,27,37.3,34,-971.011,-1463.619,-12038.361
8,2011,94,5,35,23.3,34,-613.216,-1507.535,-12454.748
1,2011,94,14,51,45.2,35,4203.904,222.042,2227.511
2,2011,94,14,52,45.1,35,4058.32,231.548,2295.009
3,2011,94,15,3,11.3,35,2337.773,316.45,2854.236
4,2011,94,15,3,56.3,35,2199.057,321.049,2879.933
5,2011,94,16,15,2.2,35,-4032.812,-623.44,-5684.449
6,2011,94,16,15,15.1,35,-4027.903,-626.568,-5710.194
7,2011,94,16,58,48.5,35,-2502.888,-1143.679,-9863.333
8,2011,94,16,58,53.8,35,-2498.662,-1144.656,-9870.952
1,2011,95,2,58,42,36,3828.499,113.77,2401.157
2,2011,95,3,1,41,36,3360.682,156.345,2580.727
9,2011,95,3,2,42,36,3197,170.353,2635.859
10,2011,95,20,1,34,37,5016.121,-2395.651,-15899.221
1,2011,96,2,59,36.9,38,4910.4,-333.645,1860.013
2,2011,96,3,2,40.5,38,4509.785,-261.541,2083.786
3,2011,96,3,13,30.7,38,2850.668,6.618,2747.224
4,2011,96,3,16,40,38,2292.098,85.859,2875.928
5,2011,96,4,29,10.3,38,-4072.433,-220.647,-5781.905
6,2011,96,4,30,24,38,-4045.074,-241.156,-5926.198
7,2011,96,4,59,5.8,38,-3138.445,-693.545,-8805.247
8,2011,96,5,6,54.5,38,-2834.935,-807.607,-9454.434
1,2011,96,15,5,17.8,39,4728.207,-459.66,1960.805
2,2011,96,15,6,20,39,4592.524,-430.637,2036.257
3,2011,96,15,14,5.9,39,3469.72,-203.337,2549.768
4,2011,96,15,14,50.8,39,3350.882,-180.611,2592.709
5,2011,96,16,33,46.5,39,-4078.747,-88.208,-5801.762
6,2011,96,16,34,54.8,39,-4053.792,-108.173,-5936.084
7,2011,96,17,7,27.9,39,-3016.306,-652.172,-9138.414
8,2011,96,17,18,20.8,39,-2584.268,-822.118,-9997.721
1,2011,97,3,7,10.8,40,5022.722,-692.728,1777.318
2,2011,97,3,9,57.8,40,4672.228,-604.248,1985.43
3,2011,97,3,19,36.9,40,3280.175,-275.58,2617.404
4,2011,97,3,22,12.5,40,2855.001,-182.331,2749.824
5,2011,97,4,47,39.5,40,-3853.904,-125.283,-6857.639
6,2011,97,4,48,8,40,-3840.435,-133.991,-6908.824
7,2011,97,5,14,52.2,40,-2928.185,-603.972,-9381.34
8,2011,97,5,29,12.6,40,-2352.825,-843.412,-10464.876
1,2011,97,15,16,2.3,41,4427.843,-691.777,2110.659
2,2011,97,15,18,18.7,41,4115.681,-605.466,2269.105
3,2011,97,15,24,31.5,41,3184.856,-359.081,2648.743
4,2011,97,15,26,12.2,41,2909.516,-289.338,2734.637
5,2011,97,16,45,40.7,41,-4020.238,120.124,-6155.217
6,2011,97,16,46,14.7,41,-4007.332,109.451,-6219.41
7,2011,97,17,10,37.6,41,-3271.091,-349.461,-8650.772
8,2011,97,17,19,30.3,41,-2944.075,-512.879,-9397.495
1,2011,98,3,20,48,42,4350.757,-815.517,2141.221
2,2011,98,3,21,15,42,4290.512,-796.68,2172.802
3,2011,98,3,30,4.6,42,2978.841,-404.173,2713.021
4,2011,98,3,33,41.4,42,2367.376,-232.673,2869.349
5,2011,98,4,47,59.3,42,-4063.82,289.852,-5910.88
6,2011,98,4,50,1.2,42,-4021.134,250.241,-6144.668
7,2011,98,5,20,25.9,42,-3093.879,-350.534,-9110.579
8,2011,98,5,26,0.4,42,-2886.471,-459.068,-9562.639
1,2011,98,15,25,20.4,43,4300.928,-943.826,2155.168
2,2011,98,15,26,56.6,43,4083.199,-868.575,2266.751
3,2011,98,15,35,47.1,43,2746.029,-427.377,2778.639
4,2011,98,15,37,2.5,43,2535.054,-361.053,2832.344
5,2011,98,16,44,23.9,43,-4182.155,574.745,-4938.278
6,2011,98,16,44,56.8,43,-4175.778,564.248,-5007.911
7,2011,98,17,27,20.3,43,-3019.231,-304.17,-9314.386
8,2011,98,17,28,21.9,43,-2981.343,-325.52,-9398.115
1,2011,99,3,28,40.7,44,4401.225,-1127.102,2084.983
2,2011,99,3,29,44.2,44,4265.361,-1074.856,2159.467
3,2011,99,3,40,31.1,44,2671.314,-490.737,2796.883
4,2011,99,3,41,22.6,44,2526.039,-440.134,2833.542
5,2011,99,4,51,51.1,44,-4129.019,645.219,-5316.675
6,2011,99,4,57,19.6,44,-4037.219,533.621,-5969.699
7,2011,99,5,35,49.4,44,-2885.171,-298.429,-9638.354
8,2011,99,6,3,14.4,44,-1812.377,-883.462,-11529.105
1,2011,99,15,36,48,45,3870.628,-1055.42,2345.157
2,2011,99,15,38,31,45,3630.477,-957.35,2455.134
3,2011,99,15,44,46,45,2674.311,-579.212,2793.569
4,2011,99,15,46,42,45,2351.064,-455.849,2872.067
5,2011,99,16,55,33.6,45,-4120.643,786.305,-5230.607
6,2011,99,17,2,44.8,45,-4004.419,636.345,-6084.586
7,2011,99,17,33,9.2,45,-3148.341,-47.318,-9063.878
8,2011,99,17,33,16.8,45,-3143.761,-50.372,-9075.048
1,2011,100,3,38,58.6,46,4125.381,-1301.579,2199.31
